book_id,book_title,author,joy,sadness,fear,surprise,anger,disgust,average_sentiment
1,Harry Potter and the Half-Blood Prince,J.K. Rowling,0.3739260132424533,0.2421228587627411,0.0564155243337154,0.1599676609039306,0.0864023258909583,0.0811656154692173,0.1667
2,Harry Potter and the Order of the Phoenix,J.K. Rowling,0.1023549089829127,0.0874639314909776,0.1127707088987032,0.3819422821203868,0.2011709486444791,0.1142972074449062,0.1667
5,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,0.2552488505840301,0.0851579587906599,0.0956746764481067,0.3832148656249046,0.1343312446027994,0.0463723899796605,0.1667
6,Harry Potter and the Goblet of Fire,J.K. Rowling,0.157565236557275,0.5224253823980689,0.0280431513674557,0.2468027658760547,0.0275382059626281,0.0176252834498882,0.1667
8,"Harry Potter Boxed Set, Books 1-5",J.K. Rowling,0.4155973270535469,0.0473180124536156,0.0642334790900349,0.3064276464283466,0.0806454038247466,0.0857781437225639,0.1667
10,Harry Potter Collection,J.K. Rowling,0.5590666472911835,0.0214930535294115,0.0451835323125123,0.2580459922552108,0.0906049650162458,0.025605791574344,0.1667
11,The Hitchhiker’s Guide to the Galaxy,Douglas Adams,0.2251428425312042,0.0553999065421521,0.0611111767590045,0.4055927097797394,0.1896347552537918,0.0631186285987496,0.1667
13,The Ultimate Hitchhiker’s Guide to the Galaxy,Douglas Adams,0.2558144062757492,0.1348332468420267,0.0560537058860063,0.4531689941883087,0.058271363005042,0.0418583031743764,0.1667
21,A Short History of Nearly Everything,Bill Bryson,0.2477197186090052,0.0621738728368654,0.0900687831453979,0.3611400984227657,0.1018671668134629,0.1370303208241239,0.1667
24,In a Sunburned Country,Bill Bryson,0.616477632522583,0.0349542173091322,0.0523491020780056,0.2319398466497659,0.0331694419961422,0.0311097700381651,0.1667
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,0.242202091217041,0.0891153983771801,0.0697722468525171,0.427417579293251,0.0790777120739221,0.0924149809405207,0.1667
26,The Lost Continent: Travels in Small-Town America,Bill Bryson,0.1263404060155153,0.0497740865685045,0.0662083756178617,0.465220782905817,0.1320256628096103,0.160430671647191,0.1667
28,Notes from a Small Island,Bill Bryson,0.2956909000873565,0.0610145359765738,0.0929780535399913,0.3086485236883163,0.1668356835842132,0.0748322672210633,0.1667
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,0.1270651595667004,0.2129958450794219,0.0819614272564649,0.3520274579524994,0.1359038934111595,0.0900462225079536,0.1667
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,0.2463846579194069,0.2276450837962329,0.0676202015019953,0.2973540415987372,0.0813080579973757,0.0796879624249413,0.1667
50,Hatchet,Gary Paulsen,0.099445426557213,0.080926289409399,0.3659585028886795,0.1959336668252945,0.0980907149612903,0.1596453562378883,0.1667
58,Changeling,Delia Sherman,0.3495166599750519,0.0458068437874317,0.0699969977140426,0.4409110378473997,0.0528969607548788,0.0408715317607857,0.1667
67,The Known World,Edward P. Jones,0.0392214834690094,0.218577030301094,0.1478765837848186,0.4025990605354309,0.1117965783923864,0.0799292631447315,0.1667
79,Coming Into the Country,John McPhee,0.157810446806252,0.086558680050075,0.0989820770919323,0.4914090111851692,0.1079687103629112,0.0572710344567894,0.1667
93,Heidi,Johanna Spyri,0.6219034075737,0.0178565792972221,0.0292114766780287,0.2986449882388114,0.0208014122210443,0.0115821057464927,0.1667
122,The Power of One,Bryce Courtenay,0.2372120901942253,0.1228472970426082,0.1011585474014282,0.3652635782957077,0.0954313099384307,0.0780871763825416,0.1667
180,Wrinkles in Time,George Smoot,0.3324144762009382,0.05134535301476717,0.08937130682170391,0.26560812443494797,0.10560700483620167,0.1556537519209087,0.1667
231,I Am Charlotte Simmons,Tom Wolfe,0.07758648321032524,0.12113696485757827,0.12175814807415009,0.3454882353544235,0.13626811131834984,0.1977620478719473,0.1667
249,Tropic of Cancer,Henry Miller,0.1144715066999197,0.0868265762925148,0.09350763931870461,0.2391456201672554,0.35864408761262895,0.10740457028150559,0.1667
250,Tropic of Capricorn,Henry Miller,0.0786454516928643,0.1515674702823162,0.10004910919815302,0.28931819647550583,0.22438301518559456,0.15603676438331604,0.1667
252,Sexus,Henry Miller,0.28259740211069584,0.024461691733449697,0.07434312906116247,0.47968413680791855,0.04905064823105931,0.08986294455826283,0.1667
253,The Air-Conditioned Nightmare,Henry Miller,0.03371826803777367,0.16616483218967915,0.06026716227643192,0.3843682110309601,0.13135878229513764,0.224122766405344,0.1667
264,The Portrait of a Lady,Henry James,0.17026196358104548,0.19045742601156235,0.11018884927034378,0.2998407582441966,0.10464212174216907,0.12460886935393016,0.1667
275,The Lover,Marguerite Duras,0.11088904490073521,0.2385610689719518,0.13501598437627158,0.3291018605232239,0.11072179426749547,0.07571025689442952,0.1667
295,Treasure Island,Robert Louis Stevenson,0.2549866382032633,0.06721015414223075,0.08131372556090355,0.45154640078544617,0.0916475709527731,0.05329547310248017,0.1667
304,Daniel Deronda,George Eliot,0.1310380082577467,0.07727856189012527,0.0876770531758666,0.5397068187594414,0.07502430863678455,0.08927526604384184,0.1667
320,One Hundred Years of Solitude,Gabriel García Márquez,0.0697290051728487,0.27149778306484224,0.13916909657418727,0.2602213531732559,0.10699221901595593,0.15239054374396802,0.1667
343,Perfume: The Story of a Murderer,Patrick Süskind,0.10727301705628633,0.09980906918644905,0.1853988617658615,0.3643634356558323,0.10958683211356401,0.1335687804967165,0.1667
348,The Door Into Summer,Robert A. Heinlein,0.23118740394711496,0.1370669025927782,0.0841221721842885,0.4180237203836441,0.07021261285990477,0.059387218579649924,0.1667
350,Stranger in a Strange Land,Robert A. Heinlein,0.1404912006109953,0.09133450407534838,0.14462138153612614,0.3651220016181469,0.174052270129323,0.08437863364815712,0.1667
351,Starman Jones,Robert A. Heinlein,0.49959939122200014,0.04841242246329784,0.04950839541852474,0.2842263221740723,0.07452071271836758,0.043732757493853566,0.1667
353,Time Enough for Love,Robert A. Heinlein,0.13201316744089125,0.07470804378390312,0.10519118756055831,0.4309305638074875,0.09636341705918312,0.16079361066222192,0.1667
357,The Long Dark Tea-Time of the Soul,Douglas Adams,0.1889295198023319,0.20317838042974473,0.08336856812238694,0.36067789494991304,0.09695347920060157,0.06689219176769257,0.1667
359,The Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams,0.25400590933859346,0.2118075299076736,0.10478924419730902,0.310667784512043,0.07226823084056377,0.046461301296949385,0.1667
